Site_ID,Parent_ID,Code,Display_No,CISARK_No,Name,Function,Importance,Building_Type_Label,Composition,Condition,Stand_in,Dimension,Inscription,Stone_object,Description,Detail_web,UTM_E,UTM_N,Notes
M088-3,M088,M088-3,M.88-3,,,South shrine,A3,Ruined Shrine within Complex,,Mound with scatter brick and laterite fragments,,"H: 1.6, NS: 6, EW: 23 (m)",,None,Some part of the interior wall and pit was confirmed in the looted hole.,details/M088-3.html,503221,1421721,
M089,,M089,M.89,7515,Prasat Proeng,,B2,Ruined Independent Structure,Single shrine with moat,Mound with brick and laterite fragments,Bush,"H: 1.6, NS: 11, EW: 11 (m)",None,"666, 667","One brick shrine is located at the slightly rear side of the square shape of the moat. This moat has a causeway like road only on the east side, and the other three sides are completely closed. Mound was looted and opened a hole in size of 4.5m (E-W) x 2.5m (N-S) and 1.2m deep. Two pedestals were found. One of them was found in the moat and curiously two tenon holes are opened.",details/M089.html,502755,1422284,
M090,,M090,M.90,7516,Proeng Thom / Shroeng,,B1,Independent Shrine,An elongated mound containing a laterite terrace and several brick bases on its upper surface,Mound with brick and laterite,Bush,"H: 1.9, NS: 79, EW: 22 (m)",None,668,"This is a north–south elongated oval mound located slightly south of the center of the ancient city. Excavations revealed a laterite terrace structure, approximately 2 m high, with an associated drainage channel within the mound. On the southern side, the terrace was found to be connected to remains containing a long north–south interior space. Regularly arranged brick bases were identified on the upper surface of the terrace, and these are interpreted as bases that may have supported wooden columns.",details/M090.html,502508,1422363,
M091,,M091,M.91,7530,No name,,B3,Mound / Structural Remains,Single shrine,"Mound with brick and laterite, and looted hole",Bush,"H: 1.5, NS: 9, EW: 11 (m)",None,669,The mound is covered by collapsed brick and laterite. There is a looted hole at the center of the mound. Laterite structure is confirmed at the lower end of this hole. Function of a sandstone element that remains on the mound requires investigation.,details/M091.html,502734,1422737,
M092,,M092,M.92,7538,Thakas,,B2,Ruined Independent Structure,Single shrine,"Mound with brick and laterite, and looted hole",Bush,"H: 1.7, NS: 9, EW: 17 (m)",None,670-674,"The mound is covered by collapsed brick and laterite. Some pieces of the scattered laterite blocks are very large. Partial interior wall remains. Moreover, a thin layer (about 1cm thickness) of stucco remains on this wall. Some stone objects are scattered around the mound. One piece of door sill is scattered on the east side of the mound. In addition, one piece of an octagonal shape of the colonnette has unfinished engraving.",details/M092.html,502492,1422904,
M093,,M093,M.93,7543,No name,,A1,Temple Complex,Three brick shrines are aligned in north-south direction.,,,,None,675,,details/M093.html,502391,1423064,
M093-1,M093,M093-1,M.93-1,,,South shrine,A3,Ruined Shrine within Complex,,Only lower part of interior wall remains.,,"H: 1.0, NS: 12, EW: 13 (m)",,,"The mound is covered by collapsed brick and laterite. Interior wall remains, but it is not sure that this structure is the ordinal interior wall or interior wall under the floor. Width of the interior wall is 2.5m. Lower part of this wall was stacked by laterite. On the other hand, upper layer was by brick. It might be the boundary between them corresponds to the floor level. One of the sandstone pedestals is of the style of Pre-Angkor.",details/M093-1.html,502381,1423054,
M093-2,M093,M093-2,M.93-2,,,Central shrine,A3,Ruined Shrine within Complex,,Only lower part of interior wall remains.,,"H: 0.5, NS: 9, EW: 13 (m)",,,"The mound is covered by collapsed brick and laterite. Interior wall is only conserved, but the situation is same as south shrine. Brick and laterite are used together. This interior is smaller than south shrine, 2m x 2m, and 2m deep. Contrary to the south shrine, upper layer is stacked by brick and lower layer by laterite.",details/M093-2.html,502381,1423064,
M093-3,M093,M093-3,M.93-3,,,North shrine,A3,Ruined Shrine within Complex,,Mound with scattered laterite and hole,,"H:0.4, NS: 6, EW: 6 (m)",,,The mound is confirmed to be only laterite blocks. Partially remaining central hole or interior space is 2m (N-S) x 2.5m (E-W) and 1m deep.,details/M093-3.html,502379,1423079,
M094,,M094,M.94,4595,No name,,A1,Temple Complex,Three brick shrines are aligned in north-south direction.,,,,None,None,,details/M094.html,502583,1423128,
M094-1,M094,M094-1,M.94-1,,,South shrine,A3,Ruined Shrine within Complex,,"Mound with brick, laterite and looted hole",,"H: 1.5, NS: 11, EW: 10 (m)",,,"The mound is in relatively better condition than central and north mound. However, original surface was completely destroyed. This group of shrines are surrounded by cultivated area and highly dangerous situation by the further field extension.",details/M094-1.html,502568,1423124,
M094-2,M094,M094-2,M.94-2,,,Central shrine,A3,Ruined Shrine within Complex,,Only small mound and central depression remains,,"H: 0.5, NS: 11, EW: 12 (m)",,,Only scattered bricks and trace of looted hole remain at the center.,details/M094-2.html,502567,1423135,
M094-3,M094,M094-3,M.94-3,,,North shrine,A3,Ruined Shrine within Complex,,Only small mound and central depression remain,,"H:0.4, NS: 10, EW: 8 (m)",,,"Only scattered bricks, small amount of laterites, and trace of looted hole remains at the center.",details/M094-3.html,502566,1423151,
M095,,M095,M.95,7548,Kath,,B3,Mound / Structural Remains,Trace of structure,Only very small mound,Bush,"H: -, NS: -, EW: - (m)",None,None,This is only a small mound. No brick and laterite is visible.,details/M095.html,502459,1423227,
M096,,M096,M.96,7548,Kath,,B3,Mound / Structural Remains,Small mound and depression with brick and laterite,Agricultural field,"H: 0.4, NS: 6, EW: 6 (m)",Small mound and depression with brick and laterite,None,None,"This is only a small mound with a trace of a looted hole. Small amount of brick and laterite are scattered. This trace is surrounded by rice fields, therefore, it is dangerous situation and potentially destroyed by the extending the field. The land owner said that they found this remnant in 2002, and also some gold pieces. However, there is no confirmation of any artifacts from land owner and site.",details/M096.html,502022,1423214,
M097,,M097,M.97,7535,No name,,B3,Mound / Structural Remains,Single shrine,Mound with brick and laterite,Bush,"H: 1.6, NS: 14, EW: 17 (m)",None,None,Brick and laterite blocks are scattered around the mound. Traces of looted hole are confirmed at the central chamber and front of this shrine. A brick wall partially remains at the southeast corner in 1m in height. There is one depression that is supposed to be an artificial pond located at northeast direction of the mound.,details/M097.html,502079,1422837,
M098,,M098,M.98,7533,No name,,B3,Mound / Structural Remains,Single shrine,Mound with brick and laterite,Bush,"H: 1.5, NS: 11, EW: 15 (m)",None,676,Two traces of looted hole at the center and eastern side of mound are confirmed. Partial brick wall remains inside the central looted hole. One sandstone step element in front of the door remains in the original position. One rectangular pond belongs with this shrine at north side.,details/M098.html,501962,1422692,
M099,,M099,M.99,7527,Trapang Srortei,,B3,Mound / Structural Remains,Single shrine with moat,"Mound with brick, laterite and looted hole",Forest,"H: 1.1, NS: 12, EW: 12 (m)",None,677-685,"The mound is covered by collapsed brick, laterite and pebbles. Several sandstone objects are scattered around the mound. The most important element is the half part of a lintel of Prei Khmeng style. Whether this interior wall is above or under the floor level is unknown. However, this wall is the alternatively constructed of brick and laterite. Villager informed us that one statue of Vajimukha was found in this mound in the 1980s.",details/M099.html,502197,1422675,
M100,,M100,M.100,7517,Sratech,,B3,Mound / Structural Remains,Single shrine,"Mound with brick, laterite and looted hole",Agricultural field,"H: 1.3, NS: 13, EW: 13 (m)",None,"686, 687","Superstructure is completely collapsed, but in the looted hole appears the wall of the central pit. Dimension of the pit is 1,8m x 2.3m and 1m deep. Lower layer of the pit was constructed of laterite and upper layer was of brick. Two moonstone elements were found at this mound.",details/M100.html,502163,1422370,
M101,,M101,M.101,7512,No name,,B3,Mound / Structural Remains,Single shrine,"Mound with brick, laterite and looted hole",Agricultural field,"H: 0.7, NS: 10, EW: 10 (m)",None,None,"Superstructure is completely collapsed, but in the looted hole appears the wall of the central pit. Dimension of this pit is 3.3m (N-S) x 3.1m (E-W) and 1.3m deep. This wall is stacked alternately by using brick and laterite.",details/M101.html,502337,1422109,
M102,,M102,M.102,7513,Boeng Doemampil,,B3,Mound / Structural Remains,Single shrine,Small depression of the trace of looted hole,Bush,"H: -, NS: -, EW: - (m)",None,None,Only a small depression remains. Laterite fragments are scattered around this remnant. There are two rectangular ponds nearby this remnant at east and southwest.,details/M102.html,502015,1422217,
M103,,M103,M.103,7532,Khnach Tol,,A1,Temple Complex,Three shrines are aligned in NS direction. Another shrine is located in eastern side alone.,,,,None,,"This group is one of the largest temple complexes within the ancient city. At least four brick shrines have been identified, three of which are aligned north–south. The northernmost shrine has an octagonal plan, while the other two have rectangular plans. A square pond is located in the northeastern corner inside the enclosure. Excavations have identified gate remains of different types on the northern and southern sides of the enclosure wall. Two shrines within the enclosure have been excavated and subsequently conserved.",details/M103.html,501832,1422784,
KH1,M103,KH1,KH1,,,North shrine,A2,Shrine within Complex,,Lower part of interior wall remains.,,"H: 1.5, NS: 11, EW: 10 (m)",,"692, 699","This shrine has an octagonal plan. An excavated pit remains at the center of the interior, indicating the presence of a square vertical shaft beneath the floor. A circular sandstone pedestal was installed inside the shrine. Excavation and conservation work have been carried out by NASPK.",details/KH1.html,501812,1422815,
KH2,M103,KH2,KH2,,,Central shrine,A2,Shrine within Complex,,"Exterior is covered by collapsed brick, but Interior wall remains.",,"H: 1.9, NS: 13, EW: 21 (m)",,"691, 693, 695, 700, 701","Interior wall remains at 1.1m in height. There are many stone elements remaining in the original place and also scattered in/around the shrine. Especially door opening elements, door frame, step, and moonstone, remain well preserved. Water drainage “Somasutra” exists on the north wall. Excavation and conservation work have been carried out by NASPK.",details/KH2.html,501806,1422780,
KH3,M103,KH3,KH3,,,South shrine,A2,Shrine within Complex,,"Exterior is covered by collapsed brick, but Interior wall partially remains.",,"H: 1.6, NS: 15, EW: 19 (m)",,695-698,Interior wall remains 2.7m in height. Some of the sandstone elements are scattered around the mound.,details/KH3.html,501809,1422764,
KH4,M103,KH4,KH4,,,Eastern isolated shrine,A3,Ruined Shrine within Complex,,Small mound with the looted trace,,"H: 1.4, NS: 11, EW: 10 (m)",,None,The structure is completely destroyed. Deformed brick pavement and wall is confirmed partially in the looted trace.,details/KH4.html,501829,1422759,
M104,,M104,M.104,7542,No name,,A1,Temple Complex,This group consists of 6 mounds. All of the mounds are aligned in one line on north-south axis.,,,,None,,,details/M104.html,501621,1422999,
M104-1,M104,M104-1,M.104-1,,,1st mound counted from north,A3,Ruined Shrine within Complex,,"Mound with brick, laterite and looted hole",,"H: 1.7, NS: 19, EW: 25 (m)",,"702-704, 706, 708-712, 714-716","The brick structure is completely destroyed. There is one big looted hole at the center and small part at the north and south corner is the remains of the brick pavement. Many sandstone elements such as door frame, moonstone, and pedestal are scattered around the mound.",details/M104-1.html,501597,1423053,
M104-2,M104,M104-2,M.104-2,,,2nd mound counted from north,A3,Ruined Shrine within Complex,,Mound with brick and laterite,,"H: 0.8, NS: 14, EW: 21 (m)",,"705, 713",This brick structure is completely destroyed. Some stone elements were found.,details/M104-2.html,501602,1423035,
M104-3,M104,M104-3,M.104-3,,,3rd mound counted from north,A3,Ruined Shrine within Complex,,"Mound with brick, laterite and looted hole",,"H: 1.0, NS: 10, EW: 13 (m)",,None,"Looted hole is opened at the center of the mound, and some part of the brick structure is confirmed in the hole.",details/M104-3.html,501605,1423021,
M104-4,M104,M104-4,M.104-4,,,4th mound counted from north,A3,Ruined Shrine within Complex,,"Mound with brick, laterite and looted hole",,"H: 1.0, NS: 10, EW: 13 (m)",,None,"Looted hole is opened at the center of this mound, and two layers of laterite pavement are confirmed at the northeast corner. Laterite exterior platform confirmed partially at the northeast corner.",details/M104-4.html,501611,1423003,
M104-5,M104,M104-5,M.104-5,,,5th mound counted from north,A3,Ruined Shrine within Complex,,"Mound with brick, laterite and looted hole",,"H: 1.0, NS: 10, EW: 13 (m)",,None,Deformed brick structure is confirmed in the hole.,details/M104-5.html,501615,1422988,
M104-6,M104,M104-6,M.104-6,,,6th mound counted from north,A3,Ruined Shrine within Complex,,"Mound with brick, laterite and looted hole",,"H: 2.0, NS: 13, EW: 16 (m)",,707,Mound is covered by accumulated brick and laterite. The central hole is 2.4m in depth. The wall of the hole is piled up with laterite block and some part is by brick chips with soil. One layer of the sandstone pedestal is scattered on the mound.,details/M104-6.html,501618,1422976,
M105,,M105,M.105,7536,No name,,A1,Temple Complex,Two shrines are aligned in north-south direction. Surrounding of this group is slightly depressed. There is one pond at northeast side from the trace of shrine.,,,,None,,,details/M105.html,501383,1422843,
M105-1,M105,M105-1,M.105-1,,,North shrine,A3,Ruined Shrine within Complex,,"Mound with brick, laterite and looted hole",,"H: 0.4, NS: 25, EW: 35 (m)",,None,Only small amount of the brick and laterite fragments are confirmed. Looted hole is opened at the center of the mound.,details/M105-1.html,501381,1422851,
M105-2,M105,M105-2,M.105-2,,,South shrine,A3,Ruined Shrine within Complex,,"Mound with brick, laterite and looted hole",,"H: 0.4, NS: 25, EW: 35 (m)",,None,Only small amount of the brick and laterite fragments are confirmed. Looted hole is open at the center of the mound.,details/M105-2.html,501381,1422831,
M106,,M106,M.106,7528,No name,,B3,Mound / Structural Remains,Single shrine with a pond,"Mound with brick, laterite and looted hole",Bush,"H: 1.5, NS: 12, EW: 12 (m)",None,None,Upper structure is completely destroyed. There are two looted holes on the mound. Brick structure is not confirmed. One pond is located nearby this mound at the east side.,details/M106.html,501600,1422658,
M107,,M107,M.107,6744,Phnom Banda,,B3,Mound / Structural Remains,Single shrine,"Mound with brick, laterite and looted hole",Bush,"H: 1.7, NS: 18, EW: 26 (m)",None,None,"The structure is completely collapsed with a relatively big mound. This position appears be important because of the location at the center of western side of moat of Isanapura, and earthen dike (ancient road) starts from this mound in a southeast direction.",details/M107.html,501432,1422277,
M108,,M108,M.108,6744,No name,,B3,Mound / Structural Remains,Single shrine with moat,"Mound with brick, laterite and looted holes",Bush,"H: 1.6, NS: 20, EW: 23 (m)",None,717-720,"There are many looted holes on the mound. The central hole is 1.7m deep and interior brick wall is partially confirmed. The moat opened by an earthen road to the east direction is 10m width, and southwest direction is 5m width.",details/M108.html,501551,1422228,
M109,,M109,M.109,7503,Toek Sampoch,,B3,Mound / Structural Remains,Single shrine with pond,"Mound with brick, laterite and looted hole",Bush,"H: 1.0, NS: 13, EW: 20 (m)",None,None,"Upper structure is completely destroyed. Looted hole is in size of 2.7m (N-S) x 2.8m (E-W) and 1.6m deep. One part of foundation structure is confirmed in this hole. Under the brick structure is stacked laterite chips with soil. There is one pond at the east side of the structure. Sandstone fragment of the projection of a pedestal was found in the rice field at northeast direction of this mound (12/52/43, 105/0/59). This object was transported to the site storehouse.",details/M109.html,501718,1421814,
M110,,M110,M.110,7505,Toek Sampoch (same name as M.109),,B3,Mound / Structural Remains,Single shrine,"Mound with brick, laterite and looted hole",Bush,"H: 0.6, NS: 16, EW: 18 (m)",None,None,Upper structure is completely destroyed. Presently a very low mound with small amount of brick and laterite fragments remains. There are many traces of looting holes. Deformed brick structure is partially confirmed in the central hole. This location is on the dike of the west moat.,details/M110.html,501546,1421841,
M111,,M111,M.111,7563,No name,,B3,Mound / Structural Remains,unknown,Some brick are scattered,Bush,"H: -, NS: -, EW: - (m)",None,None,"Many brick were found when local people dug the ground. However, structure is unconfirmed. This location is nearby an artificial pond that is called Srah Sran and is the biggest pond in this group of monuments.",details/M111.html,501431,1424618,
M112,,M112,M.112,,Prasat Prohot,,B3,Mound / Structural Remains,Single shrine with pond,Mound but partial brick structure remains,Forest,"H: 1.8, NS: 16, EW: 19 (m)",None,722-727,Upper structure is collapsed but some part of the interior brick wall remains. There are many sandstone elements scattered on and around the mound. Receiving stone of “Somasutra” remains. Cylindrical shape of sandstone elements requires evaluation. One pond is located at the east side.,details/M112.html,500546,1418920,
M113,,M113,M.113,,Toul Phum Boeng,,B3,Mound / Structural Remains,Single shrine (?),Brick pieces are scattered,Forest,"H: -, NS: -, EW: - (m)",None,None,There is no trace of structure but scattered bricks are concentrated in the immediate area.,details/M113.html,500304,1418548,
M114,,M114,M.114,,Toul Prasat,,B3,Mound / Structural Remains,Single shrine,Remains with lower half of the interior wall,Bush,"H: -, NS: -, EW: - (m)",None,None,"This is the most southerly located building in this inventory. Interior brick wall still remains approximately 1.5m in height. Some parts of the pedestal are scattered. Small wooden shrine for the Nak Ta is constructed nearby the structure, and some of the stone elements are offered at the shrine.",details/M114.html,502059,1417544,
M115,,M115,M.115,7501,Toul Lvea,,B3,Mound / Structural Remains,Single shrine (?),Mound with brick scattering.,Agricultural field,"H: 1.7, NS: 22, EW: 26 (m)",None,None,The mound is located in the overflow area of the Stung Sen. Brick paving structure is partially confirmed in the looted hole at the western side of the mound. Small amounts of brick and pebbles are scattered around. The mound is surrounded by a depressed area. An earthen dike might be connected to the mound from the western upland where the main temple area is located.,details/M115.html,505025,1421708,
M116,,M116,M.116,,No name,,B3,Mound / Structural Remains,Single shrine or one component of Prasat Tao (M.026),Mound with looted hole,Forest,"H: 1.0, NS: 9, EW: 12 (m)",None,728,"The mound is located in front of Prasat Tao (M.026). This is the similar relation with the M.023 and Prasat Yeai Poeun (M. 024). Looted hole is opened at the center of the mound, brick and pebble layer of structure is partially confirmed in this hole.",details/M116.html,504379,1422597,
M117,,M117,M.117,,No name,,B3,Mound / Structural Remains,Single shrine,Mound with looted hole,Bush,"H: 1.0, NS: 12, EW: 10 (m)",None,729,Upper structure is completely destroyed. Many bricks are scattered around the mound. One fragment of the pedestal was found.,details/M117.html,502453,1422998,
M118,,M118,M.118,4596?,No name,,B3,Mound / Structural Remains,Single shrine (?),Small mound with brick,Vacancy,"H: 0.6, NS: 10, EW: 10 (m)",None,None,Small amount of the bricks are scattered around low mound. There is no trace of the structure itself.,details/M118.html,502462,1422950,
M119,,M119,M.119,,No name,,B3,Mound / Structural Remains,Single shrine,"Small mound with brick, laterite and looted hole",Bush,"H: 0.8, NS: 10, EW: 10 (m)",None,None,"The mound is covered by brick and some fragment of laterite. Central looted hole is opened to 2.1m depth, and brick structure is confirmed.",details/M119.html,502372,1422965,
M120,,M120,M.120,4616?,No name,,B3,Mound / Structural Remains,Single shrine with moat (?),"Small mound with brick, laterite and looted hole",Bush,"H: 1.3, NS: 10, EW: 13 (m)",None,None,"Upper structure is completely destroyed. Brick, laterite and pebbles are scattered around the mound. Looted hole is 1.3m in depth, and brick wall is confirmed at west and north side. The existence of a moat has not been confirmed, but surrounding area of the mound is slightly depressed.",details/M120.html,502001,1422409,
M121,,M121,M.121,4617,No name,,B3,Mound / Structural Remains,Single shrine with moat (?),Small mound with brick and laterite,Agricultural field,"H: 1.0, NS: 42, EW: 42 (m)",None,None,Small amount of brick and laterite fragment are scattered on the low mound. Many traces of the looting works are confirmed on the central area of the mound. The existence of the moat is unconfirmed but surrounding area of the mound is slightly depressed.,details/M121.html,501679,1422127,
M122,,M122,M.122,,Yeai Toav,,B3,Mound / Structural Remains,Unknown,Scattered blocks,Forest,"H: -, NS: -, EW: - (m)",None,None,"Building is completely destroyed and scattered elements such as pebbles, brick fragments and small amount of laterite is evidence of the existence of brick monuments. As there is no elevated mound and scattered elements distributed in the large area, it is difficult to identify the original location and size of this building.",details/M122.html,502555,1427183,
M123,,M123,M.123,,Prei Kamnorb,,B3,Mound / Structural Remains,Unknown,Scattered blocks,Forest,"H: 0.5, NS: 10, EW: 10 (m)",None,None,The mound is located around 650m from M.122 to the NW direction and both of them are in Dang Antak village. There is one wooden Neak Ta shrine at the southwest side of this remnant. Building is completely destroyed and some scattered brick and laterite fragments are confirmed. The existence of some building by these scattered elements can be proposed.,details/M123.html,502049,1427592,
M124,,M124,M.124,,No name,,B3,Mound / Structural Remains,Single shrine,Mound with brick,Forest,"H: 1.5, NS: 10, EW: 10 (m)",None,730,The mound is located to the north of M.042. Brick masonry is partially confirmed in the hole. Dimension of the hole is 1.8m (N-S) x 1.9m (E-W) and 1.6m deep.,details/M124.html,504051,1421368,
M125,,M125,M.125,,O Tlok Kakos (1),,B3,Mound / Structural Remains,Single shrine?,Mound with brick and laterite,Forest,"H: 0 NS: 18, EW: 18 (m)",None,731,"The mound is located at the east side of stream O Tlok Kakos. The stream flows in a southerly direction and connects to the northeast corner of moat of “Isanapura”. The stream was completely dried up in April. Building is completely destroyed and no brick or laterite masonry was confirmed. Mound is slightly elevated. There are small amounts of brick fragments and laterite fragments are scattered. Many laterite chips covered the mound. Some sandstone fragments were found, but nearly all fragments are decayed. Only one stone is curiously curved in the shape of the lower half of a human face.",details/M125.html,502356,1426599,
M126,,M126,M.126,,O Tlok Kakos (2),,B3,Mound / Structural Remains,Single shrine?,Mound with brick and laterite,Bush,"H: 0.8 NS: 15, EW: 14 (m)",None,None,"The mound is located northward from O Tlok Kakos (1) around 150m away and along stream O Tlok Kakos, on the west bank of this stream (). The mound was covered by heavy bush therefore confirmation of the condition could not be made. There are many medium size pebbles and brick fragments. One big hole is opened at the center of the mound.",details/M126.html,502239,1426694,
M127,,M127,M.127,,So Kgang,,B3,Mound / Structural Remains,unknown,Long mound with brick and pebble,Forest,"H: 2.5 NS: 25, EW: 50 (m)",None,None,"This is a long mound with the long axis in the E-W direction. Many laterite blocks are scattered or positioned on the slope of the mound and a few blocks are scattered on the mound. By this situation, it is estimated that these laterite blocks are the step-like wall of this long basement structure. Almost every laterite blocks was broken and in fragments. However, some of them maintain the original shape. Especially step-like laterite layers can be confirmed at the southeast corner. Confirmation of small amounts of the brick fragments was made; it is difficult to suppose the existence of some brick building on this laterite basement structure. The scale of the mound is similar to the Proeng Thom (M090) at the center of city “Isanapura”. There is one small Neak Ta shrine on the mound.",details/M127.html,501953,1428697,
M128,,M128,M.128,,Toul Prasat,,A1,Temple Complex,Three shrines are aligned in NNE-SSW direction.,,,,None,,These three brick shrines are located on a large mound approximately 4m in height. The interval of these three shrines is 12m each. There are many rectangular ponds at the northern side of this site. Trees around this site were cut down in preparation to make rice fields by local people in 2005. Measures for protect this site from this destruction are required.,details/M128.html,507850,1429891,
M128-1,M128,M128-1,M.128-1,,,North shrine,A3,Ruined Shrine within Complex,,Mound with brick and looted hole,,,,None,Upper structure is completely collapsed. Only some bricks are scattered. Looted hole is opened at the center of the mound; size of this hole is 2.0m (N-S) x 3.0m (E-W) and 0.8m deep.,details/M128-1.html,507840,1429915,
M128-2,M128,M128-2,M.128-2,,,Central shrine,A3,Ruined Shrine within Complex,,"Mound with brick, laterite and looted hole",,,,None,Upper structure is completely collapsed. North and west side of vertical or under floor walls remain partially. West interior wall partially remains. Hole at the center of this wall is 3.2m (N-S) x 7m (E-W) and 1.4m deep. Scattered sandstone looks like broken door flame. This stone element was used as a grave marker at the later period or recently.,details/M128-2.html,507833,1429893,
M128-3,M128,M128-3,M.128-3,,,South shrine,A3,Ruined Shrine within Complex,,"Mound with brick, laterite and looted hole",,,,None,The structure is most damaged of the three structures. Central looted hole is 1.2m in depth.,details/M128-3.html,507827,1429872,
M129,,M129,M.129,,Prasat Yeai Leak,,A1,Temple Complex,"Three shrines are aligned in north-south direction. Interval of each shrine is around 9.5m. Line of three shrines is slightly rotated in counterclockwise and probably this angle is similar to the angle of long bank at east side. These 3 shrines stand on one highland, the area is 38m (N-S) x 18m (E-W).",,,,None,732-745,"This site is located about 200m east from the edge of the highland. There is a large pond, Srah Tapic, and long earthen bank (local people called simply ""ancient road"") at the eastern side from this site. Combination between temple and bank is similar as Prasat Sambor and Prasat Yeai Poeun, but these two elements are not on the same axis in this site. One of the scattering door jambs in the central shrine is 187cm in height. Therefore, it is supposed not as big a scale of building. Many sandstone elements are scattering around the mound. Some elements are supposed to be the style of pre-Angkor period, and some of them are Angkor period. For example, both style of the pedestal and colonnette were found, and base with the feet of lion is the style of Angkor period. Because of these mixed style of elements, we could theorize that this site was constructed in pre-Angkor period initially but renovated in the Angkor period.",details/M129.html,509861,1426981,
M129-1,M129,M129-1,M.129-1,,,North shrine,A3,Ruined Shrine within Complex,,Mound with brick,,,,None,Upper structure is completely collapsed. Small looted hole is opened at the center of the mound.,details/M129-1.html,509833,1426997,
M129-2,M129,M129-2,M.129-2,,,Central shrine,A3,Ruined Shrine within Complex,,Mound with brick,,,,None,"Some parts of the brick masonry remain, but it is too difficult to identify the form of plan of the original structure.",details/M129-2.html,509839,1426979,
M129-3,M129,M129-3,M.129-3,,,South shrine,A3,Ruined Shrine within Complex,,Mound with brick,,,,None,Small hole with brick masonry remains (0.5m deep). Large size of the bricks around 35cm long are mixed in the collapsed brick masonry.,details/M129-3.html,509843,1426962,
M130,,M130,M.130,,Wat Chas,,B3,Mound / Structural Remains,Unknown,Brick and laterite block are scattered.,Forest,"H: - NS: -, EW: - (m)",None,None,"This site is located on the highland and near Chormas village, about 1 km from the dike that was supposed a part of ancient road to the north direction. There is no trace of shrines but some brick fragments and one laterite block are scattered around. Because the surrounding area is not flat and many small varied elevations, some structure will be expected to be found by clearance work. Small Neak Ta shrine stands on north side of this site.",details/M130.html,510787,1428236,
M131,,M131,M.131,,Toul Nak Ta Kieng,,B3,Mound / Structural Remains,Unknown,Mound with laterite,Forest,"H: 1.2 NS: 12, EW: 13 (m)",None,None,Upper structure is completely collapsed. Only small amount of the laterite block is scattered around. Neak Ta shrine that are called “Nak Ta Kieng” is located 200m north from the mound.,details/M131.html,505700,1425946,
M132,,M132,M.132,,Nak Ta Chinik,,B3,Mound / Structural Remains,Unknown,Some laterite and sandstone blocks are placed.,Forest,"H: - NS: -, EW: - (m)",None,746-748,Local people believe that this site is the home (?) of Neak Ta. A few large laterite blocks are scattered. One square shape of pedestal and one laterite shape of pedestal are piled up on the laterite pavement. Furthermore another square shape of broken pedestal is scattered nearby. Some villagers say one pedestal with inscription and very large round shape of pedestal existed previously in this site.,details/M132.html,508537,1425398,
M133,,M133,M.133,,No name,,B3,Mound / Structural Remains,Single shrine,Mound with brick,Vacancy,"H: 1.7 NS: 10, EW: 13 (m)",None,None,Upper structure is completely collapsed. There are two holes (both of them are size at approximately 1.5m x 1.5m) on mounds. These two holes connected underground and there appears some brick masonry. This site is located at the north side of dike (ancient road) that is started from M129.,details/M133.html,512549,1427362,
